"","term","beta","std.error","p.value"
"1","external_Mg",-0.351178863702898,0.93704957263076,0.707963036405734
"2","external_Ca",-0.638038729404555,1.72089284840962,0.70987121468128
"3","external_Na",-0.184648211832346,0.180746110543098,0.307512800477082
"4","external_Cl",0.155577051997286,0.157651486556945,0.327128097341789
"5","external_K",1.28236421318408,0.587609166615502,0.0286285055985372
"6","internal_Mg",0.122602150631202,0.252928440387208,0.652365019701096
"7","internal_Ca",-4.1011675085934,4.75021401956257,0.386940192282213
"8","internal_Na",-0.17557052292606,0.0434144809420308,6.32342282338342e-05
"9","internal_Cl",0.0630910079149113,0.0436313286048626,0.151423899490857
"10","internal_K",0.1365518957309,0.0559200524068362,0.0154030021616582
"11","external_glucose",0.0751471834859043,0.0625943773626299,0.225984054412969
"12","internal_HEPES",0.22312918628577,0.140955048120423,0.113015472222334
"13","internal_EGTA",0.715544413947172,0.174174914314296,4.83153739474861e-05
"14","internal_ATP",0.287094057600857,0.294612549506843,0.322208556105978
"15","internal_GTP",-2.21499690040687,2.67457769767078,0.409688545901418
